send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452466038975736,12452466119471463,0.0202502,0.0200647,0.0503827,0.0500647,0.00986284,0.0804957,14,24,348.208,1,20
12452466053058767,12452466136630298,0.0201901,0.0200701,0.0526108,0.0500674,0.0107706,0.0835715,14,24,319.241,1,20
12452466057149147,12452466136648141,0.0201844,0.0200681,0.0546057,0.0500643,0.00470895,0.079499,14,24,319.241,1,20
12452466058231051,12452466136656978,0.0201844,0.0200677,0.0535395,0.0500652,0.00470213,0.0784259,14,24,319.241,1,20
12452466059306081,12452466136665744,0.020167,0.0200672,0.0525012,0.0500676,0.00469141,0.0773597,14,24,319.241,1,20
12452466060385440,12452466136678258,0.0201653,0.0200663,0.0514332,0.050066,0.00469428,0.0762928,14,24,319.241,1,20
12452466062462686,12452466136693175,0.0201629,0.0200711,0.0533713,0.0500729,0.000696322,0.0742305,14,24,319.241,1,20
12452466075548150,12452466159891034,0.0201814,0.0200686,0.0514726,0.0500685,0.0126889,0.0843429,14,24,320.312,1,20
12452466081634284,12452466159908246,0.0201798,0.0200705,0.0545131,0.050073,0.00358102,0.078274,14,24,320.312,1,20
12452466085713073,12452466159918285,0.0201693,0.0200693,0.0504686,0.0500606,0.00356727,0.0742052,14,24,320.312,1,20
12452466086793544,12452466159926360,0.020163,0.0200609,0.0514279,0.0500651,0.00154193,0.0731328,14,24,320.312,1,20
12452466096875661,12452466177207121,0.0201867,0.0200716,0.0524115,0.0500656,0.00773321,0.0803315,14,24,332.483,1,20
12452466099955552,12452466189372505,0.0201775,0.020067,0.0664632,0.0500629,0.00277622,0.089417,14,24,361.029,1,20
12452466106035123,12452466189389287,0.0201613,0.0200649,0.0604576,0.0500624,0.00273531,0.0833542,14,24,361.029,1,20
12452466108114963,12452466189398845,0.0201596,0.0200632,0.0584251,0.0500676,0.00269918,0.0812839,14,24,361.029,1,20
12452466119190868,12452466206586362,0.0201668,0.0200646,0.0563994,0.0500712,0.0108293,0.0873955,14,24,382.033,1,20
12452466136274703,12452466212616831,0.0201869,0.0200635,0.0534079,0.0500689,0.0027474,0.0763421,14,24,360.25,1,20
12452466137354292,12452466212634144,0.0201705,0.0200663,0.0523902,0.0500713,0.00271911,0.0752799,14,24,360.25,1,20
12452466145433192,12452466236060029,0.0202019,0.0200726,0.0524455,0.0500648,0.0179794,0.0906268,14,24,450.734,1,20
12452466155509950,12452466236081840,0.0201748,0.0200742,0.0514739,0.0500708,0.00892318,0.0805719,14,24,450.734,1,20
12452466159589290,12452466241182831,0.0201674,0.0200706,0.0566091,0.0500676,0.00481702,0.0815935,14,24,425.33,1,2
12452466160664661,12452466241199552,0.0201725,0.0200675,0.0555622,0.0500682,0.00480023,0.0805349,14,24,425.33,1,2
12452466167746336,12452466241208439,0.0201786,0.0200681,0.0514289,0.050066,0.00185463,0.0734621,14,24,425.33,1,2
12452466176826178,12452466259349229,0.0201964,0.0200733,0.0595527,0.0500674,0.00277401,0.0825231,13,30,366.252,1,2
12452466177904495,12452466259366842,0.0202608,0.0200707,0.0584417,0.0500665,0.0027598,0.0814623,13,30,366.252,1,2
12452466185987304,12452466259375738,0.0202454,0.0200691,0.0503987,0.0500655,0.0027443,0.0733884,13,30,366.252,1,2
12452466189067926,12452466276490350,0.0201652,0.0200675,0.0533781,0.0500633,0.0138792,0.0874224,13,30,346.495,1,2
12452466190145952,12452466276507692,0.0201641,0.0200707,0.0523351,0.0500661,0.0138626,0.0863617,13,30,346.495,1,2
12452466206235355,12452466296980233,0.0201859,0.0200651,0.0596227,0.0500698,0.0109363,0.0907449,13,30,410.053,1,2
12452466213400767,12452466296997596,0.0201574,0.0200656,0.0526262,0.0500638,0.0108133,0.0835968,13,30,410.053,1,2
12452466214488482,12452466297095589,0.0201529,0.0200627,0.0515547,0.0500681,0.0108995,0.0826071,13,30,410.053,1,2
12452466212321309,12452466297105067,0.0201754,0.0200696,0.0536991,0.0500715,0.0109092,0.0847838,13,30,410.053,1,2
12452466218564766,12452466297114154,0.0201623,0.0200674,0.0524143,0.050067,0.0059728,0.0785494,13,30,410.053,1,2
12452466219642091,12452466297131667,0.0201532,0.0200631,0.0514093,0.0500632,0.00592703,0.0774896,13,30,410.053,1,2
12452466235725543,12452466316318954,0.020184,0.0200685,0.0534727,0.0500711,0.00693663,0.0805934,13,30,464.316,1,2
12452466240809312,12452466316337368,0.0201849,0.0200693,0.0504625,0.0500701,0.00488066,0.0755281,13,30,464.316,1,2
12452466247890346,12452466332484710,0.0201721,0.0200747,0.058424,0.0500715,0.00599831,0.0845944,13,30,412.218,1,2
12452466258970531,12452466332502764,0.0201882,0.0200662,0.05244,0.0500658,0.000904021,0.0735322,13,30,412.218,1,2
12452466261055049,12452466332521288,0.0201918,0.0200642,0.0504207,0.050065,0.000853747,0.0714662,13,30,412.218,1,2
12452466276138562,12452466359064675,0.0201813,0.0200657,0.0506081,0.0500654,0.0121367,0.0829261,13,30,425.392,1,2
12452466278218482,12452466359082558,0.0201626,0.0200716,0.0586385,0.0500685,0.00206294,0.0808641,13,30,425.392,1,2
12452466281295437,12452466359091575,0.0201686,0.0200715,0.055564,0.0500639,0.00206355,0.0777961,13,30,425.392,1,2
12452466283375658,12452466359100071,0.0201567,0.0200671,0.0535006,0.050063,0.00206708,0.0757244,13,30,425.392,1,2
12452466285453554,12452466359110801,0.0201533,0.0200669,0.0514768,0.0500844,0.00202722,0.0736572,13,30,425.392,1,2
12452466295542434,12452466380285306,0.0201845,0.0200723,0.05057,0.0500686,0.0139884,0.0847429,13,30,366.005,1,2
12452466296618787,12452466380302047,0.0201498,0.0200631,0.0526146,0.0500649,0.0109189,0.0836833,13,30,366.005,1,2
12452466306699231,12452466387326074,0.0201754,0.0200687,0.0555994,0.050069,0.00485205,0.0806268,13,30,343.529,1,2
12452466314856819,12452466387343427,0.0201556,0.0200646,0.0506501,0.0500695,0.00168083,0.0724866,13,30,343.529,1,2
12452466313779614,12452466387353035,0.0201785,0.0200635,0.0517105,0.0500668,0.00168441,0.0735734,13,30,343.529,1,2
12452466315931479,12452466401399326,0.020216,0.0200637,0.0525827,0.0500708,0.0126692,0.0854678,13,30,316.268,1,2
12452466319092281,12452466401416128,0.0201591,0.0200619,0.0525384,0.0500702,0.0096264,0.0823238,13,30,316.268,1,2
12452466332173959,12452466436067741,0.0201636,0.0200667,0.0567039,0.0500679,0.0270263,0.103894,13,30,463.086,1,2
12452466335325704,12452466436085173,0.020154,0.0200603,0.0536716,0.0500674,0.0269339,0.100759,13,30,463.086,1,2
12452466338402168,12452466436094250,0.0201528,0.0200609,0.0506136,0.0500628,0.0269257,0.0976921,13,30,463.086,1,2
12452466333250582,12452466436103377,0.0201566,0.0200619,0.0558218,0.0500683,0.0268743,0.102853,13,30,463.086,1,2
12452466341483531,12452466436114378,0.0201781,0.0200671,0.0534698,0.050065,0.020983,0.0946308,13,30,463.086,1,2
12452466342560295,12452466436129426,0.0201579,0.0200685,0.052442,0.0500667,0.0209692,0.0935691,13,30,463.086,1,2
12452466346636129,12452466436139765,0.0201538,0.0200631,0.0635145,0.0500665,0.00583531,0.0895036,13,30,463.086,1,2
12452466358713839,12452466436148582,0.020164,0.0200715,0.0514977,0.0500669,0.005773,0.0774347,13,30,463.086,1,2
12452466364792488,12452466440163060,0.0201988,0.0200696,0.0523152,0.0500692,0.00285651,0.0753706,13,30,441.297,1,2
12452466379874387,12452466458481603,0.0202141,0.0200724,0.0512978,0.0500694,0.00709531,0.0786072,13,30,458.776,1,2
12452466386963717,12452466458498695,0.0201999,0.0200656,0.0504884,0.0500749,0.000846634,0.071535,13,30,458.776,1,2
12452466401049502,12452466489984196,0.0201711,0.0200656,0.0648165,0.050067,0.00394709,0.0889347,13,30,516.894,1,2
12452466402127939,12452466490085505,0.0201601,0.0200629,0.0638856,0.0500681,0.00391189,0.0879576,13,30,516.894,1,2
12452466404201297,12452466490101104,0.0201609,0.0200654,0.0618287,0.0500667,0.00391016,0.0858998,13,30,516.894,1,2
12452466406279054,12452466490110011,0.0201524,0.020066,0.0597907,0.0500678,0.00388789,0.083831,13,30,516.894,1,2
12452466407360967,12452466490119048,0.0201546,0.0200643,0.0587219,0.0500668,0.00388155,0.0827581,13,30,516.894,1,2
12452466408439104,12452466490127093,0.0201546,0.0200661,0.0576863,0.050064,0.00384708,0.081688,13,30,516.894,1,2
12452466415515038,12452466490135118,0.0201583,0.0200633,0.0506646,0.0500679,0.00379717,0.0746201,13,30,516.894,1,2
